,region,constituency,name,pr_ann_anom
526,527,E14001056,Wycombe,0.028253794
527,528,E14001057,Wyre and Preston North,0.097669125
528,529,E14001058,Wyre Forest,0.032123327
529,530,E14001059,Wythenshawe and Sale East,0.050895452
530,531,E14001060,Yeovil,0.0462025
531,532,E14001061,York Central,0.042145014
532,533,E14001062,York Outer,0.039424818
533,534,N06000001,Belfast East,0.04898405
534,535,N06000002,Belfast North,0.058564186
535,536,N06000003,Belfast South,0.051845312
536,537,N06000004,Belfast West,0.051845312
537,538,N06000005,East Antrim,0.06425891
538,539,N06000006,East Londonderry,0.08141335
539,540,N06000007,Fermanagh and South Tyrone,0.07391663
540,541,N06000008,Foyle,0.080999374
541,542,N06000009,Lagan Valley,0.054037143
542,543,N06000010,Mid Ulster,0.061104234
543,544,N06000011,Newry and Armagh,0.05658381
544,545,N06000012,North Antrim,0.07764104
545,546,N06000013,North Down,0.100845575
546,547,N06000014,South Antrim,0.07458911
547,548,N06000015,South Down,0.05039406
548,549,N06000016,Strangford,0.06359477
549,550,N06000017,Upper Bann,0.0804235
550,551,N06000018,West Tyrone,0.067495435
551,552,S14000001,Aberdeen North,0.041399717
552,553,S14000002,Aberdeen South,0.040259838
553,554,S14000003,Airdrie and Shotts,0.061131477
554,555,S14000004,Angus,0.048804864
555,556,S14000005,Argyll and Bute,0.13136055
556,557,S14000006,"Ayr, Carrick and Cumnock",0.120465726
557,558,S14000007,Banff and Buchan,0.05154213
558,559,S14000008,"Berwickshire, Roxburgh and Selkirk",0.033730127
559,560,S14000009,"Caithness, Sutherland and Easter Ross",0.05787007
560,561,S14000010,Central Ayrshire,0.106520414
561,562,S14000011,"Coatbridge, Chryston and Bellshill",0.06041217
562,563,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",0.06137395
563,564,S14000013,Dumfries and Galloway,0.089658156
564,565,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",0.05945182
565,566,S14000015,Dundee East,0.03069055
566,567,S14000016,Dundee West,0.04303193
567,568,S14000017,Dunfermline and West Fife,0.060746033
568,569,S14000018,East Dunbartonshire,0.08173084
569,570,S14000019,"East Kilbride, Strathaven and Lesmahagow",0.076801896
570,571,S14000020,East Lothian,0.038900442
571,572,S14000021,East Renfrewshire,0.077783585
572,573,S14000022,Edinburgh East,0.04288864
573,574,S14000023,Edinburgh North and Leith,0.04288864
574,575,S14000024,Edinburgh South,0.04288864
575,576,S14000025,Edinburgh South West,0.045832157
576,577,S14000026,Edinburgh West,0.045832157
577,578,S14000027,Na h-Eileanan an Iar,0.075174436
578,579,S14000028,Falkirk,0.06979656
579,580,S14000029,Glasgow Central,0.09319234
580,581,S14000030,Glasgow East,0.08373189
581,582,S14000031,Glasgow North,0.08174944
582,583,S14000032,Glasgow North East,0.081712246
583,584,S14000033,Glasgow North West,0.08174944
584,585,S14000034,Glasgow South,0.09319234
585,586,S14000035,Glasgow South West,0.09319234
586,587,S14000036,Glenrothes,0.03718567
587,588,S14000037,Gordon,0.044605494
588,589,S14000038,Inverclyde,0.1465807
589,590,S14000039,"Inverness, Nairn, Badenoch and Strathspey",0.06512415
590,591,S14000040,Kilmarnock and Loudoun,0.09051561
591,592,S14000041,Kirkcaldy and Cowdenbeath,0.059486866
592,593,S14000042,Lanark and Hamilton East,0.07303611
593,594,S14000043,Linlithgow and East Falkirk,0.047480185
594,595,S14000044,Livingston,0.04945904
595,596,S14000045,Midlothian,0.03752184
596,597,S14000046,Moray,0.03885939
597,598,S14000047,Motherwell and Wishaw,0.06973195
